dt,AverageTemperature,Country
2012-01-01,-0.9429999999999998,Åland
2012-02-01,-3.454,Åland
2012-03-01,2.317,Åland
2012-04-01,2.935,Åland
2012-05-01,8.434000000000001,Åland
2012-06-01,10.645,Åland
2012-07-01,16.05,Åland
2012-08-01,15.605,Åland
2012-09-01,12.087,Åland
2012-10-01,7.03,Åland
2012-11-01,5.478,Åland
2012-12-01,-3.4170000000000003,Åland
2012-01-01,-0.231,Afghanistan
2012-02-01,0.2349999999999999,Afghanistan
2012-03-01,8.696000000000002,Afghanistan
2012-04-01,16.32,Afghanistan
2012-05-01,21.179,Afghanistan
2012-06-01,25.267,Afghanistan
2012-07-01,28.193,Afghanistan
2012-08-01,26.549000000000003,Afghanistan
2012-09-01,20.933000000000003,Afghanistan
2012-10-01,15.031,Afghanistan
2012-11-01,8.7,Afghanistan
2012-12-01,2.907,Afghanistan
2012-01-01,21.151,Africa
2012-02-01,22.648000000000003,Africa
2012-03-01,24.357,Africa
2012-04-01,25.621,Africa
2012-05-01,26.627,Africa
2012-06-01,26.302,Africa
2012-07-01,25.513,Africa
2012-08-01,26.042,Africa
2012-09-01,26.147,Africa
2012-10-01,25.713,Africa
2012-11-01,24.607000000000006,Africa
2012-12-01,21.983,Africa
2012-01-01,1.6869999999999998,Albania
2012-02-01,1.977,Albania
2012-03-01,9.135,Albania
2012-04-01,12.053,Albania
2012-05-01,16.316000000000006,Albania
2012-06-01,22.309,Albania
2012-07-01,25.474,Albania
2012-08-01,24.966,Albania
2012-09-01,20.454,Albania
2012-10-01,15.759,Albania
2012-11-01,11.269,Albania
2012-12-01,3.82,Albania
2012-01-01,11.363,Algeria
2012-02-01,12.09,Algeria
2012-03-01,18.32,Algeria
2012-04-01,23.349,Algeria
2012-05-01,29.664,Algeria
2012-06-01,33.977,Algeria
2012-07-01,34.958,Algeria
2012-08-01,34.01,Algeria
2012-09-01,30.224,Algeria
2012-10-01,25.834000000000003,Algeria
2012-11-01,20.031,Algeria
2012-12-01,13.638,Algeria
2012-01-01,27.145,American Samoa
2012-02-01,27.134,American Samoa
2012-03-01,27.045,American Samoa
2012-04-01,27.266,American Samoa
2012-05-01,27.179,American Samoa
2012-06-01,27.065,American Samoa
2012-07-01,26.629,American Samoa
2012-08-01,26.922,American Samoa
2012-09-01,27.278,American Samoa
2012-10-01,27.475,American Samoa
2012-11-01,27.963,American Samoa
2012-12-01,27.316,American Samoa
2012-01-01,5.145,Andorra
2012-02-01,1.7049999999999996,Andorra
2012-03-01,9.405,Andorra
2012-04-01,9.752,Andorra
2012-05-01,15.136,Andorra
2012-06-01,18.817,Andorra
2012-07-01,20.512,Andorra
2012-08-01,22.514,Andorra
2012-09-01,17.539,Andorra
2012-10-01,13.261,Andorra
2012-11-01,8.62,Andorra
2012-12-01,5.672999999999999,Andorra
2012-01-01,22.152,Angola
2012-02-01,22.038,Angola
2012-03-01,23.438,Angola
2012-04-01,22.554,Angola
2012-05-01,20.979000000000006,Angola
2012-06-01,18.693,Angola
2012-07-01,18.891,Angola
2012-08-01,21.817,Angola
2012-09-01,23.797,Angola
2012-10-01,23.736,Angola
2012-11-01,24.344,Angola
2012-12-01,23.041,Angola
2012-01-01,25.678,Anguilla
2012-02-01,25.868,Anguilla
2012-03-01,26.182,Anguilla
2012-04-01,26.622,Anguilla
2012-05-01,27.448,Anguilla
2012-06-01,28.883000000000003,Anguilla
2012-07-01,29.073,Anguilla
2012-08-01,29.171,Anguilla
2012-09-01,29.309,Anguilla
2012-10-01,28.758000000000003,Anguilla
2012-11-01,28.203000000000003,Anguilla
2012-12-01,26.47600000000001,Anguilla
2012-01-01,,Antarctica
2012-02-01,,Antarctica
2012-03-01,,Antarctica
2012-04-01,,Antarctica
2012-05-01,,Antarctica
2012-06-01,,Antarctica
2012-07-01,,Antarctica
2012-08-01,,Antarctica
2012-09-01,,Antarctica
2012-10-01,,Antarctica
2012-11-01,,Antarctica
2012-12-01,,Antarctica
2012-01-01,25.582,Antigua And Barbuda
2012-02-01,25.654,Antigua And Barbuda
2012-03-01,25.985,Antigua And Barbuda
2012-04-01,26.553,Antigua And Barbuda
2012-05-01,27.362,Antigua And Barbuda
2012-06-01,28.813,Antigua And Barbuda
2012-07-01,28.898000000000003,Antigua And Barbuda
2012-08-01,28.903,Antigua And Barbuda
2012-09-01,28.921,Antigua And Barbuda
2012-10-01,28.312,Antigua And Barbuda
2012-11-01,27.89,Antigua And Barbuda
2012-12-01,26.329,Antigua And Barbuda
2012-01-01,23.29,Argentina
2012-02-01,21.487,Argentina
2012-03-01,19.34,Argentina
2012-04-01,14.663,Argentina
2012-05-01,12.433,Argentina
2012-06-01,8.353,Argentina
2012-07-01,6.98,Argentina
2012-08-01,10.842,Argentina
2012-09-01,13.931,Argentina
2012-10-01,16.311,Argentina
2012-11-01,19.677,Argentina
2012-12-01,20.961,Argentina
2012-01-01,-2.78,Armenia
2012-02-01,-5.478999999999999,Armenia
2012-03-01,0.3630000000000004,Armenia
2012-04-01,12.004,Armenia
2012-05-01,16.084,Armenia
2012-06-01,20.418,Armenia
2012-07-01,22.252,Armenia
2012-08-01,23.687,Armenia
2012-09-01,18.592,Armenia
2012-10-01,13.265,Armenia
2012-11-01,6.766,Armenia
2012-12-01,-0.963,Armenia
2012-01-01,26.879,Aruba
2012-02-01,26.97600000000001,Aruba
2012-03-01,27.066,Aruba
2012-04-01,27.516,Aruba
2012-05-01,29.117,Aruba
2012-06-01,29.993,Aruba
2012-07-01,30.339,Aruba
2012-08-01,30.232,Aruba
2012-09-01,30.112,Aruba
2012-10-01,29.067,Aruba
2012-11-01,28.764,Aruba
2012-12-01,27.767,Aruba
2012-01-01,-7.158,Asia
2012-02-01,-5.225,Asia
2012-03-01,1.339,Asia
2012-04-01,10.521999999999998,Asia
2012-05-01,16.468,Asia
2012-06-01,20.934,Asia
2012-07-01,22.444000000000003,Asia
2012-08-01,20.591,Asia
2012-09-01,16.36,Asia
2012-10-01,9.425,Asia
2012-11-01,1.459,Asia
2012-12-01,-6.007000000000001,Asia
2012-01-01,27.904,Australia
2012-02-01,27.2,Australia
2012-03-01,24.699,Australia
2012-04-01,22.208,Australia
2012-05-01,17.761999999999997,Australia
2012-06-01,14.674,Australia
2012-07-01,14.027,Australia
2012-08-01,16.408,Australia
2012-09-01,20.474,Australia
2012-10-01,23.586,Australia
2012-11-01,26.935,Australia
2012-12-01,28.417,Australia
2012-01-01,-1.7910000000000004,Austria
2012-02-01,-5.609999999999999,Austria
2012-03-01,5.287000000000001,Austria
2012-04-01,7.338999999999999,Austria
2012-05-01,12.795,Austria
2012-06-01,16.222,Austria
2012-07-01,17.555,Austria
2012-08-01,17.923000000000005,Austria
2012-09-01,12.887,Austria
2012-10-01,7.277,Austria
2012-11-01,3.844,Austria
2012-12-01,-2.392,Austria
2012-01-01,0.3120000000000001,Azerbaijan
2012-02-01,-1.7889999999999997,Azerbaijan
2012-03-01,3.6309999999999993,Azerbaijan
2012-04-01,14.466,Azerbaijan
2012-05-01,19.13000000000001,Azerbaijan
2012-06-01,23.063,Azerbaijan
2012-07-01,24.381,Azerbaijan
2012-08-01,25.547,Azerbaijan
2012-09-01,20.219,Azerbaijan
2012-10-01,15.834,Azerbaijan
2012-11-01,9.433,Azerbaijan
2012-12-01,2.814,Azerbaijan
2012-01-01,22.52,Bahamas
2012-02-01,23.599,Bahamas
2012-03-01,24.291,Bahamas
2012-04-01,24.488000000000003,Bahamas
2012-05-01,26.476,Bahamas
2012-06-01,27.932,Bahamas
2012-07-01,28.748,Bahamas
2012-08-01,28.988000000000003,Bahamas
2012-09-01,28.259,Bahamas
2012-10-01,26.903,Bahamas
2012-11-01,23.789,Bahamas
2012-12-01,23.804,Bahamas
2012-01-01,16.301000000000002,Bahrain
2012-02-01,17.295,Bahrain
2012-03-01,19.899,Bahrain
2012-04-01,26.471,Bahrain
2012-05-01,33.398,Bahrain
2012-06-01,35.773,Bahrain
2012-07-01,37.471,Bahrain
2012-08-01,36.749,Bahrain
2012-09-01,33.648,Bahrain
2012-10-01,30.131,Bahrain
2012-11-01,24.035,Bahrain
2012-12-01,19.181,Bahrain
2012-01-01,26.0,Baker Island
2012-02-01,26.313,Baker Island
2012-03-01,26.268,Baker Island
2012-04-01,26.243,Baker Island
2012-05-01,26.465,Baker Island
2012-06-01,26.143,Baker Island
2012-07-01,25.487,Baker Island
2012-08-01,26.291,Baker Island
2012-09-01,26.22,Baker Island
2012-10-01,26.047,Baker Island
2012-11-01,26.182,Baker Island
2012-12-01,26.518,Baker Island
2012-01-01,17.925,Bangladesh
2012-02-01,21.282,Bangladesh
2012-03-01,26.076,Bangladesh
2012-04-01,27.62,Bangladesh
2012-05-01,29.416,Bangladesh
2012-06-01,29.085,Bangladesh
2012-07-01,28.599,Bangladesh
2012-08-01,28.908,Bangladesh
2012-09-01,28.626,Bangladesh
2012-10-01,26.631,Bangladesh
2012-11-01,23.139,Bangladesh
2012-12-01,19.096,Bangladesh
2012-01-01,26.06,Barbados
2012-02-01,25.81,Barbados
2012-03-01,26.216,Barbados
2012-04-01,26.733,Barbados
2012-05-01,27.46,Barbados
2012-06-01,28.321,Barbados
2012-07-01,28.278,Barbados
2012-08-01,28.195,Barbados
2012-09-01,28.402,Barbados
2012-10-01,28.019,Barbados
2012-11-01,27.922,Barbados
2012-12-01,26.744000000000003,Barbados
2012-01-01,-4.867,Belarus
2012-02-01,-10.805,Belarus
2012-03-01,1.1889999999999998,Belarus
2012-04-01,8.391,Belarus
2012-05-01,14.965,Belarus
2012-06-01,16.114,Belarus
2012-07-01,20.618,Belarus
2012-08-01,17.781,Belarus
2012-09-01,13.68,Belarus
2012-10-01,7.188,Belarus
2012-11-01,3.804,Belarus
2012-12-01,-6.0360000000000005,Belarus
2012-01-01,4.425,Belgium
2012-02-01,0.1159999999999996,Belgium
2012-03-01,8.578,Belgium
2012-04-01,8.408,Belgium
2012-05-01,14.479,Belgium
2012-06-01,15.300999999999998,Belgium
2012-07-01,17.617,Belgium
2012-08-01,19.277,Belgium
2012-09-01,14.538,Belgium
2012-10-01,10.501,Belgium
2012-11-01,6.582999999999999,Belgium
2012-12-01,4.399,Belgium
2012-01-01,23.54,Belize
2012-02-01,24.673,Belize
2012-03-01,25.464,Belize
2012-04-01,26.86,Belize
2012-05-01,27.61,Belize
2012-06-01,27.307,Belize
2012-07-01,26.806,Belize
2012-08-01,26.893,Belize
2012-09-01,27.05,Belize
2012-10-01,25.326,Belize
2012-11-01,23.542,Belize
2012-12-01,23.742,Belize
2012-01-01,26.974,Benin
2012-02-01,29.482000000000006,Benin
2012-03-01,30.852,Benin
2012-04-01,30.547,Benin
2012-05-01,28.725,Benin
2012-06-01,27.413,Benin
2012-07-01,25.818,Benin
2012-08-01,25.44,Benin
2012-09-01,25.947,Benin
2012-10-01,26.61,Benin
2012-11-01,28.266,Benin
2012-12-01,26.948,Benin
2012-01-01,2.955,Bhutan
2012-02-01,6.800999999999998,Bhutan
2012-03-01,10.474,Bhutan
2012-04-01,12.74,Bhutan
2012-05-01,16.171,Bhutan
2012-06-01,17.85,Bhutan
2012-07-01,18.286,Bhutan
