date,monthly_average
1958-03,315.7
1958-04,317.45
1958-05,317.51
1958-06,317.24
1958-07,315.86
1958-08,314.93
1958-09,313.2
1958-10,312.43
1958-11,313.33
1958-12,314.67
1959-01,315.58
1959-02,316.48
1959-03,316.65
1959-04,317.72
1959-05,318.29
1959-06,318.15
1959-07,316.54
1959-08,314.8
1959-09,313.84
1959-10,313.33
1959-11,314.81
1959-12,315.58
1960-01,316.43
1960-02,316.98
1960-03,317.58
1960-04,319.03
1960-05,320.04
1960-06,319.59
1960-07,318.18
1960-08,315.9
1960-09,314.17
1960-10,313.83
1960-11,315.0
1960-12,316.19
1961-01,316.89
1961-02,317.7
1961-03,318.54
1961-04,319.48
1961-05,320.58
1961-06,319.77
1961-07,318.57
1961-08,316.79
1961-09,314.99
1961-10,315.31
1961-11,316.1
1961-12,317.01
1962-01,317.94
1962-02,318.55
1962-03,319.68
1962-04,320.57
1962-05,321.02
1962-06,320.62
1962-07,319.61
1962-08,317.4
1962-09,316.25
1962-10,315.42
1962-11,316.69
1962-12,317.7
1963-01,318.74
1963-02,319.07
1963-03,319.86
1963-04,321.38
1963-05,322.25
1963-06,321.48
1963-07,319.74
1963-08,317.77
1963-09,316.21
1963-10,315.99
1963-11,317.07
1963-12,318.35
1964-01,319.57
1964-02,320.01
1964-03,320.74
1964-04,321.84
1964-05,322.26
1964-06,321.89
1964-07,320.44
1964-08,318.69
1964-09,316.7
1964-10,316.87
1964-11,317.68
1964-12,318.71
1965-01,319.44
1965-02,320.44
1965-03,320.89
1965-04,322.14
1965-05,322.17
1965-06,321.87
1965-07,321.21
1965-08,318.87
1965-09,317.81
1965-10,317.3
1965-11,318.87
1965-12,319.42
1966-01,320.62
1966-02,321.6
1966-03,322.39
1966-04,323.7
1966-05,324.08
1966-06,323.75
1966-07,322.38
1966-08,320.36
1966-09,318.64
1966-10,318.1
1966-11,319.78
1966-12,321.03
1967-01,322.33
1967-02,322.5
1967-03,323.04
1967-04,324.42
1967-05,325.0
1967-06,324.09
1967-07,322.54
1967-08,320.92
1967-09,319.25
1967-10,319.39
1967-11,320.73
1967-12,321.96
1968-01,322.57
1968-02,323.15
1968-03,323.89
1968-04,325.02
1968-05,325.57
1968-06,325.36
1968-07,324.14
1968-08,322.11
1968-09,320.33
1968-10,320.25
1968-11,321.32
1968-12,322.89
1969-01,324.0
1969-02,324.42
1969-03,325.63
1969-04,326.66
1969-05,327.38
1969-06,326.71
1969-07,325.88
1969-08,323.66
1969-09,322.38
1969-10,321.78
1969-11,322.86
1969-12,324.12
1970-01,325.06
1970-02,325.98
1970-03,326.93
1970-04,328.13
1970-05,328.08
1970-06,327.67
1970-07,326.34
1970-08,324.69
1970-09,323.1
1970-10,323.06
1970-11,324.01
1970-12,325.13
1971-01,326.17
1971-02,326.68
1971-03,327.17
1971-04,327.79
1971-05,328.93
1971-06,328.57
1971-07,327.36
1971-08,325.43
1971-09,323.36
1971-10,323.56
1971-11,324.8
1971-12,326.01
1972-01,326.77
1972-02,327.63
1972-03,327.75
1972-04,329.72
1972-05,330.07
1972-06,329.09
1972-07,328.04
1972-08,326.32
1972-09,324.84
1972-10,325.2
1972-11,326.5
1972-12,327.55
1973-01,328.55
1973-02,329.56
1973-03,330.3
1973-04,331.5
1973-05,332.48
1973-06,332.07
1973-07,330.87
1973-08,329.31
1973-09,327.51
1973-10,327.18
1973-11,328.16
1973-12,328.64
1974-01,329.35
1974-02,330.71
1974-03,331.48
1974-04,332.65
1974-05,333.18
1974-06,332.2
1974-07,331.07
1974-08,329.15
1974-09,327.33
1974-10,327.28
1974-11,328.31
1974-12,329.58
1975-01,330.73
1975-02,331.46
1975-03,331.94
1975-04,333.11
1975-05,333.95
1975-06,333.42
1975-07,331.97
1975-08,329.95
1975-09,328.5
1975-10,328.36
1975-11,329.38
1975-12,330.76
1976-01,331.56
1976-02,332.74
1976-03,333.36
1976-04,334.74
1976-05,334.72
1976-06,333.98
1976-07,333.08
1976-08,330.68
1976-09,328.96
1976-10,328.72
1976-11,330.16
1976-12,331.62
1977-01,332.68
1977-02,333.17
1977-03,334.96
1977-04,336.14
1977-05,336.93
1977-06,336.17
1977-07,334.89
1977-08,332.56
1977-09,331.29
1977-10,331.28
1977-11,332.46
1977-12,333.6
1978-01,334.94
1978-02,335.26
1978-03,336.66
1978-04,337.69
1978-05,338.02
1978-06,338.01
1978-07,336.5
1978-08,334.42
1978-09,332.36
1978-10,332.45
1978-11,333.76
1978-12,334.91
1979-01,336.14
1979-02,336.69
1979-03,338.27
1979-04,338.82
1979-05,339.24
1979-06,339.26
