Date,Close,Average,Volume
1900/1/1,-3.026,0.538,108223500
1900/2/1,-8.063,0.657,148516900
1900/3/1,-3.196,0.467,182501900
1900/4/1,0.781,0.224,153038200
1900/5/1,4.96,0.503,152038600
1900/6/1,12.296,1.129,220441900
1900/7/1,14.712,0.879,266424900
1900/8/1,15.632,0.765,466777500
1900/9/1,10.647,0.484,430642100
1900/10/1,7.141,0.558,293375600
1900/11/1,3.274,0.482,311488100
1900/12/1,-0.584,0.535,187469100
1901/1/1,-2,0.832,174585600
1901/2/1,-6.386,0.392,153832000
1901/3/1,-2.775,0.373,189413000
1901/4/1,2.253,0.56,212576700
1901/5/1,7.847,0.688,119567700
1901/6/1,13.163,0.418,158221700
1901/7/1,19.337,0.824,92590400
1901/8/1,17.357,0.322,137586400
1901/9/1,12.778,0.394,163867200
1901/10/1,10.082,0.482,135934400
1901/11/1,0.394,0.512,109099200
1901/12/1,-3.301,0.579,105706300
1902/1/1,-1.77,0.924,103867400
1902/2/1,-4.47,0.302,97640900
1902/3/1,-3.378,0.236,143773700
1902/4/1,-0.831,0.738,115141600
1902/5/1,4.296,0.473,166281500
1902/6/1,9.655,0.734,126865200
1902/7/1,12.087,0.637,137523400
1902/8/1,12.861,0.485,141636600
1902/9/1,9.676,0.466,93013200
1902/10/1,4.615,0.545,91510300
1902/11/1,1.911,0.502,224905100
1902/12/1,-3.383,1.069,107472400
1903/1/1,-2.916,0.947,230064800
1903/2/1,0.582,0.941,149054500
1903/3/1,2.395,0.528,101425100
1903/4/1,1.632,0.648,104080900
1903/5/1,7.163,0.389,123375700
1903/6/1,11.768,0.595,111727000
1903/7/1,14.658,0.453,112739200
1903/8/1,13.853,0.409,85527400
1903/9/1,11.911,0.659,139861400
1903/10/1,4.522,0.504,114104900
1903/11/1,2.299,0.837,150607800
1903/12/1,0.958,0.653,149445100
1904/1/1,0.589,1.112,135571100
1904/2/1,-5.321,0.421,160218800
1904/3/1,-2.983,0.515,135186100
1904/4/1,1.895,0.304,131827500
1904/5/1,5.109,0.564,107664900
1904/6/1,10.37,0.508,150786300
1904/7/1,13.759,0.856,171126900
1904/8/1,14.076,0.573,111754300
1904/9/1,11.214,0.355,157125500
1904/10/1,7.136,0.481,143247300
1904/11/1,0.642,0.822,83545700
1904/12/1,-1.488,0.435,83256600
1905/1/1,-3.178,0.97,76552700
1905/2/1,-1.596,0.652,101019100
1905/3/1,-0.332,0.446,94196200
1905/4/1,0.322,0.589,187636400
1905/5/1,7.454,0.533,141731100
1905/6/1,14.175,0.398,184581600
1905/7/1,15.419,0.316,245597800
1905/8/1,14.158,0.422,198356200
1905/9/1,10.895,0.429,199238900
1905/10/1,4.359,0.545,119767200
1905/11/1,2.793,0.288,177335900
1905/12/1,1.297,0.408,189600600
1906/1/1,-0.039,0.861,139710200
1906/2/1,-0.897,0.709,135615900
1906/3/1,-2.546,0.396,113585500
1906/4/1,3.051,0.295,180954900
1906/5/1,8.633,1.14,220775800
